LaneID,Origin,Destination,Distance,Freight Type,CarrierID,CarrierType,BidPrice
Lane-0051,"Los Angeles, CA","Las Vegas, NV",270,Dry Van,B003,Broker,482.64
Lane-0052,"Los Angeles, CA","Miami, FL",2700,Dry Van,B003,Broker,5161.96
Lane-0053,"Los Angeles, CA","Minneapolis, MN",1900,Dry Van,B003,Broker,3768.34
Lane-0054,"Los Angeles, CA","Nashville, TN",2000,Dry Van,B003,Broker,4062.47
Lane-0055,"Los Angeles, CA","New Orleans, LA",1900,Dry Van,B003,Broker,4098.95
Lane-0056,"Los Angeles, CA","New York, NY",2800,Dry Van,B003,Broker,5190.18
Lane-0057,"Los Angeles, CA","Phoenix, AZ",400,Dry Van,B003,Broker,717.32
Lane-0058,"Los Angeles, CA","Pittsburgh, PA",2400,Dry Van,B003,Broker,4554.23
Lane-0059,"Los Angeles, CA","Portland, OR",950,Dry Van,B003,Broker,1578.92
Lane-0060,"Los Angeles, CA","Salt Lake City, UT",700,Dry Van,B003,Broker,1097.94
Lane-0061,"Los Angeles, CA","San Antonio, TX",1350,Dry Van,B003,Broker,2407.6
Lane-0062,"Los Angeles, CA","Seattle, WA",1200,Dry Van,B003,Broker,2084.98
Lane-0063,"Los Angeles, CA","St. Louis, MO",1800,Dry Van,B003,Broker,3452.82
