LaneID,Origin,Destination,Distance,Freight Type,CarrierID,CarrierType,BidPrice
Lane-0047,"Los Angeles, CA","Houston, TX",1550,Dry Van,B001,Broker,2413.25
Lane-0048,"Los Angeles, CA","Indianapolis, IN",2050,Dry Van,B001,Broker,3346.3
Lane-0049,"Los Angeles, CA","Jacksonville, FL",2400,Dry Van,B001,Broker,4406.31
Lane-0050,"Los Angeles, CA","Kansas City, MO",1600,Dry Van,B001,Broker,2816.98
Lane-0051,"Los Angeles, CA","Las Vegas, NV",270,Dry Van,B001,Broker,463.38
Lane-0052,"Los Angeles, CA","Miami, FL",2700,Dry Van,B001,Broker,4596.01
Lane-0053,"Los Angeles, CA","Minneapolis, MN",1900,Dry Van,B001,Broker,3035.28
Lane-0054,"Los Angeles, CA","Nashville, TN",2000,Dry Van,B001,Broker,3501.54
Lane-0055,"Los Angeles, CA","New Orleans, LA",1900,Dry Van,B001,Broker,3927.61
Lane-0056,"Los Angeles, CA","New York, NY",2800,Dry Van,B001,Broker,4338.57
Lane-0057,"Los Angeles, CA","Phoenix, AZ",400,Dry Van,B001,Broker,850.27
Lane-0058,"Los Angeles, CA","Pittsburgh, PA",2400,Dry Van,B001,Broker,4270.85
Lane-0059,"Los Angeles, CA","Portland, OR",950,Dry Van,B001,Broker,1511.28
Lane-0060,"Los Angeles, CA","Salt Lake City, UT",700,Dry Van,B001,Broker,1044.7
Lane-0061,"Los Angeles, CA","San Antonio, TX",1350,Dry Van,B001,Broker,2760.02
Lane-0062,"Los Angeles, CA","Seattle, WA",1200,Dry Van,B001,Broker,1992.96
Lane-0063,"Los Angeles, CA","St. Louis, MO",1800,Dry Van,B001,Broker,3067.64
